"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 31 18:12:48 IST 2024","Wed Jul 31 18:13:07 IST 2024","19307","chromium","UISignup.spec.ts","","","","Signin using account created",""
"passed","Wed Jul 31 18:12:48 IST 2024","Wed Jul 31 18:13:08 IST 2024","19737","chromium","UISignup.spec.ts","","","","Create account - signup",""
